ISBN,Author,Title,Year
451524934,"George Orwell, Erich Fromm, Celâl Üster",1984,1949
553588486,George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",1996
141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,1859
1594489505,Khaled Hosseini,A Thousand Splendid Suns,2007
385338600,John Grisham,A Time to Kill,1989
1416524797,Dan Brown,"Angels & Demons  (Robert Langdon, #1)",2000
452284244,George Orwell,Animal Farm,1945
60929871,Aldous Huxley,Brave New World,1932
031606792X,Stephenie Meyer,"Breaking Dawn (Twilight, #4)",2008
014028009X,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",1996
439023491,Suzanne Collins,"Catching Fire (The Hunger Games, #2)",2009
64410935,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,1952
1416914285,Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",2007
62024035,Veronica Roth,"Divergent (Divergent, #1)",2011
393970124,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,1897
143038419,Elizabeth Gilbert,"Eat, Pray, Love",2006
316160202,Stephenie Meyer,"Eclipse (Twilight, #3)",2007
812550706,Orson Scott Card,"Ender's Game (Ender's Saga, #1)",1985
375826696,Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",2002
307347974,Ray Bradbury,Fahrenheit 451,1953
1612130585,E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",2011
345803507,E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",2012
1612130291,E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",2011
141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,1818
61234001,"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",2005
297859382,Gillian Flynn,Gone Girl,2012
446675539,Margaret Mitchell,Gone with the Wind,1936
439064864,"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",1998
545010225,"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",2007
439139600,"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",2000
439785960,"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",2005
439358078,"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2003
043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",1999
439554934,"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",1997
439244196,"Louis Sachar, Louis Sachar","Holes (Holes, #1)",1998
7442912,Veronica Roth,"Insurgent (Divergent, #2)",2012
385486804,Jon Krakauer,Into the Wild,1996
142437204,"Charlotte Brontë, Michael Mason",Jane Eyre,1847
030734813X,Michael Crichton,"Jurassic Park (Jurassic Park, #1)",1990
770430074,Yann Martel,Life of Pi,2001
451529308,Louisa May Alcott,"Little Women (Little Women, #1)",1868
142402516,John Green,Looking for Alaska,2005
140283331,William Golding,Lord of the Flies,1954
739326228,Arthur Golden,Memoirs of a Geisha,1997
439023513,Suzanne Collins,"Mockingjay (The Hunger Games, #3)",2010
743454537,Jodi Picoult,My Sister's Keeper,2004
316160199,Stephenie Meyer,"New Moon (Twilight, #2)",2006
374500010,"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),1958
142000671,John Steinbeck,Of Mice and Men,1937
60531045,"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,1967
014241493X,John Green,Paper Towns,2008
679783261,Jane Austen,Pride and Prejudice,1813
743477111,"William Shakespeare, Robert           Jackson",Romeo and Juliet,1595
141439661,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,1811
385333846,Kurt Vonnegut Jr.,Slaughterhouse-Five,1969
142437174,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,1884
61122416,"Paulo Coelho, Alan R. Clarke",The Alchemist,1988
375831002,Markus Zusak,The Book Thief,2005
316769177,J.D. Salinger,The Catcher in the Rye,1951
1400032717,Mark Haddon,The Curious Incident of the Dog in the Night-Time,2003
307277674,Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",2003
307275558,Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",2003
553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,1947
525478817,John Green,The Fault in Our Stars,2012
618346252,J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",1954
1594633665,Paula Hawkins,The Girl on the Train,2015
307269981,"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",2006
307269752,"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",2005
385732554,Lois Lowry,"The Giver (The Giver, #1)",1993
60256656,Shel Silverstein,The Giving Tree,1964
074324754X,Jeannette Walls,The Glass Castle,2005
679879242,Philip Pullman,"The Golden Compass (His Dark Materials, #1)",1995
743273567,F. Scott Fitzgerald,The Great Gatsby,1925
399155341,Kathryn Stockett,The Help,2009
345391802,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",1979
618260307,J.R.R. Tolkien,The Hobbit,1937
316068047,Stephenie Meyer,"The Host (The Host, #1)",2008
439023483,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",2008
1594480001,Khaled Hosseini,The Kite Runner,2003
786838655,Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",2005
60764899,C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",1950
156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,1946
316166685,Alice Sebold,The Lovely Bones,2002
385737947,James Dashner,"The Maze Runner (Maze Runner, #1)",2009
553816713,Nicholas Sparks,"The Notebook (The Notebook, #1)",1996
143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,-720
014038572X,S.E. Hinton,The Outsiders,1967
671027344,Stephen Chbosky,The Perks of Being a Wallflower,1999
375751513,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,1891
345418263,William Goldman,"The Princess Bride ",1973
517189607,Frances Hodgson Burnett,The Secret Garden,1911
142001740,Sue Monk Kidd,The Secret Life of Bees,2001
450040186,Stephen King,The Shining (The Shining #1),1977
965818675,Audrey Niffenegger,The Time Traveler's Wife,2003
61120081,Harper Lee,To Kill a Mockingbird,1960
316015849,Stephenie Meyer,"Twilight (Twilight, #1)",2005
1565125606,Sara Gruen,Water for Elephants,2006
60513039,Shel Silverstein,Where the Sidewalk Ends,1974
393978893,"Emily Brontë, Richard J. Dunn",Wuthering Heights,1847
