"Draw Date","Numbers As Drawn","Numbers In Order","Jackpot","6 of 6","5 of 6","4 of 6","3 of 6"
"09-21-2022","16--34--36--19--3--11","3--11--16--19--34--36","$2.10 Million",0,8,524,8117
"09-17-2022","20--36--25--21--13--44","13--20--21--25--36--44","$2.00 Million",0,15,472,8100
"09-14-2022","25--38--43--8--18--21","8--18--21--25--38--43","$1.90 Million",0,12,492,7676
"09-10-2022","36--18--37--3--17--38","3--17--18--36--37--38","$1.80 Million",0,14,444,7483
"09-07-2022","43--9--15--7--23--44","7--9--15--23--43--44","$1.70 Million",0,12,481,7652
"09-03-2022","38--43--9--42--18--28","9--18--28--38--42--43","$1.60 Million",0,11,472,7677
"08-31-2022","41--14--15--9--4--13","4--9--13--14--15--41","$1.50 Million",0,9,493,7477
"08-27-2022","5--32--18--36--3--21","3--5--18--21--32--36","$1.40 Million",0,7,409,7742
"08-24-2022","15--18--44--5--25--12","5--12--15--18--25--44","$1.30 Million",0,16,516,7869
"08-20-2022","19--15--17--10--31--37","10--15--17--19--31--37","$1.20 Million",0,12,463,7491
"08-17-2022","33--16--23--21--22--8","8--16--21--22--23--33","$1.10 Million",0,7,418,7033
"08-13-2022","42--9--19--23--40--38","9--19--23--38--40--42","$1.00 Million",0,5,469,7726
"08-10-2022","12--23--36--1--31--17","1--12--17--23--31--36","$7.50 Million",1,23,1151,17455
"08-06-2022","1--4--40--33--20--35","1--4--20--33--35--40","$7.40 Million",0,18,1041,17077
"08-03-2022","25--9--26--6--29--18","6--9--18--25--26--29","$7.30 Million",0,19,1109,17297
"07-30-2022","40--38--7--16--26--11","7--11--16--26--38--40","$7.20 Million",0,27,1223,18551
"07-27-2022","20--6--9--27--5--22","5--6--9--20--22--27","$7.10 Million",0,29,1199,18115
"07-23-2022","1--43--13--27--6--35","1--6--13--27--35--43","$7.00 Million",0,17,1026,16631
"07-20-2022","37--44--21--14--42--22","14--21--22--37--42--44","$6.90 Million",0,18,931,15443
"07-16-2022","42--31--3--25--20--6","3--6--20--25--31--42","$6.80 Million",0,21,937,14625
"07-13-2022","40--42--5--19--28--3","3--5--19--28--40--42","$6.70 Million",0,33,889,14688
"07-09-2022","40--18--14--35--38--39","14--18--35--38--39--40","$6.60 Million",0,18,841,13611
"07-06-2022","11--31--1--15--8--20","1--8--11--15--20--31","$6.50 Million",0,19,878,14200
"07-02-2022","25--35--3--21--11--33","3--11--21--25--33--35","$6.40 Million",0,18,935,15360
"06-29-2022","29--41--7--18--44--12","7--12--18--29--41--44","$6.30 Million",0,26,1064,16047
"06-25-2022","37--6--40--26--14--19","6--14--19--26--37--40","$6.20 Million",0,27,919,13915
"06-22-2022","11--41--17--34--31--36","11--17--31--34--36--41","$6.10 Million",0,18,793,13283
"06-18-2022","29--34--4--43--23--14","4--14--23--29--34--43","$6.00 Million",0,21,828,13387
"06-15-2022","35--31--28--10--24--23","10--23--24--28--31--35","$5.90 Million",0,15,769,12630
"06-11-2022","41--17--36--6--16--42","6--16--17--36--41--42","$5.80 Million",0,14,773,12426
"06-08-2022","16--5--6--43--9--22","5--6--9--16--22--43","$5.70 Million",0,16,815,12993
"06-04-2022","16--42--6--43--2--29","2--6--16--29--42--43","$5.60 Million",0,18,717,12500
"06-01-2022","15--29--24--38--25--16","15--16--24--25--29--38","$5.50 Million",0,12,704,11760
"05-28-2022","32--14--22--7--24--34","7--14--22--24--32--34","$5.40 Million",0,12,794,12323
"05-25-2022","29--32--12--40--21--17","12--17--21--29--32--40","$5.30 Million",0,24,798,12514
"05-21-2022","10--9--43--40--2--11","2--9--10--11--40--43","$5.20 Million",0,14,781,12632
"05-18-2022","15--8--17--24--18--28","8--15--17--18--24--28","$5.10 Million",0,14,835,12565
"05-14-2022","30--21--33--24--27--25","21--24--25--27--30--33","$5.00 Million",0,21,704,12151
"05-11-2022","22--32--30--14--8--28","8--14--22--28--30--32","$4.90 Million",0,7,695,11556
"05-07-2022","19--16--30--31--6--23","6--16--19--23--30--31","$4.80 Million",0,17,725,12093
