Draw Date	Numbers As Drawn	Numbers In Order	Jackpot	6 of 6	5 of 6	4 of 6	3 of 6
3-Jan-98	3:15:20:21:36:40	3:15:20:21:36:40	$1.0 Million	0	9	698	N/A
7-Jan-98	7:18:28:35:38:42	7:18:28:35:38:42	$1.1 Million	0	19	813	N/A
10-Jan-98	12:22:23:26:27:43	12:22:23:26:27:43	$1.3 Million	0	15	715	N/A
14-Jan-98	14:19:23:34:36:41	14:19:23:34:36:41	$1.4 Million	0	11	585	N/A
17-Jan-98	11:12:20:30:32:44	11:12:20:30:32:44	$1.6 Million	0	19	768	N/A
21-Jan-98	8:13:19:28:39:41	8:13:19:28:39:41	$1.7 Million	0	21	683	N/A
24-Jan-98	2:10:22:24:27:41	2:10:22:24:27:41	$1.9 Million	0	11	790	N/A
28-Jan-98	18:20:23:25:35:39	18:20:23:25:35:39	$2.0 Million	0	14	572	N/A
31-Jan-98	8:15:24:36:38:40	8:15:24:36:38:40	$2.1 Million	0	19	736	N/A
4-Feb-98	6:21:26:27:33:39	6:21:26:27:33:39	$2.3 Million	0	12	684	N/A
7-Feb-98	11:14:15:18:21:40	11:14:15:18:21:40	$2.5 Million	0	21	840	N/A
11-Feb-98	12:26:27:28:33:39	12:26:27:28:33:39	$2.6 Million	0	15	657	N/A
14-Feb-98	6:11:14:24:27:37	6:11:14:24:27:37	$2.8 Million	0	27	956	N/A
18-Feb-98	19:33:37:39:41:44	19:33:37:39:41:44	$3.2 Million	0	9	811	12594
21-Feb-98	3:5:6:12:16:21	3:5:6:12:16:21	$3.4 Million	0	29	1351	19498
25-Feb-98	7:15:26:30:37:44	7:15:26:30:37:44	$3.6 Million	0	20	931	14983
28-Feb-98	4:6:24:32:39:40	4:6:24:32:39:40	$3.9 Million	0	20	893	15300
4-Mar-98	4:5:8:22:33:37	4:5:8:22:33:37	$4.1 Million	1	17	948	14884
7-Mar-98	6:10:27:32:35:43	6:10:27:32:35:43	$1.0 Million	0	20	816	13576
11-Mar-98	3:8:9:22:26:32	3:8:9:22:26:32	$1.1 Million	0	15	756	11757
14-Mar-98	29:31:34:37:39:44	29:31:34:37:39:44	$1.2 Million	0	16	754	12856
